id,name,cname,namepath,appcode,tags,channeltype_new,category1_new
1563471193573683272,力成焊机,力成焊机,,,,,"其他"
1506570740131164252,安踏,安踏,,,,,"其他"
1506666646742495267,屈臣氐,屈臣氐,,,,,"其他"
1527198375978725376,免费试压,免费试压,,,,,"其他"
1506519593047552110,恒大加油站,恒大加油站,,,,,"加油站"
1506570740131164252,4月份车铺,4月份车铺,,,,,"其他"
1506522252827684964,夏集社区卫生服务站,夏集社区卫生服务站,,,,,"其他"
1506524692960505856,河西社区卫生服务中心,河西社区卫生服务中心,,,,,"其他"
1506509195816726636,插旗山社区卫生服站,插旗山社区卫生服站,,,,,"其他"
1506638672563531780,欧奈雅,欧奈雅,,,,,"化妆品店"
1506517476568199295,苏油石化,苏油石化,,,,,"加油站"
1506666651364618332,那德兽药店,那德兽药店,,,,,"其他"
1506573189986381912,好运来兽药店,好运来兽药店,,,,,"其他"
1563549122282385412,亨飞兽药,亨飞兽药,,,,,"其他"
1506560510924156944,于秋兽药店,于秋兽药店,,,,,"其他"
1661860557202124808,互赢购物广场,互赢购物广场,,,,,"其他"
1536221980888658079,马二车行,马二车行,,,,,"其他"
1647964047070720017,镜湖农贸市场,镜湖农贸市场,,,,,"其他"

